policy,R1,R2,R3,R4,R5,R6,R7,R8
"  9.1  Our website includes hyperlinks to, and details of, third party websites.",0,0,0,0,0,0,0,0
" - Conducting relevant promotional activities, such as providing marketing and promotional materials and updates.",1,0,0,0,0,0,0,0
 - From third parties.,0,0,0,0,0,0,0,0
" - Handling your questions or requests about our services, such as sending notifications.",1,0,0,0,0,0,0,0
 - Indirectly from you.,0,0,0,0,0,0,0,0
 - Service providers - Dealers - Affiliates - Advertisers - Partners - Parent or subsidiary organizations - Internet cookie information recipients - Insurance Companies Yes See Section Above: Information Use and Sharing See Section Above: Information Use and Sharing 2.,1,0,0,0,0,0,0,0
"  Any personal information collected on these websites and mobile applications, or through your use of those features, will be visible to the third party and will be covered by the privacy practices of the third party. ",0,0,0,0,0,0,0,0
"  If you have reason to believe that your personal information has been compromised as a result of the Site or Services, please contact us immediately as set forth below under ""Contact Information.""",0,0,0,0,0,0,0,0
  We will post any revised version of this Privacy Policy on our Site. ,0,0,0,0,0,0,0,0
"  When you select those features, you will be transferred to a website owned and controlled by the third-party provider even if the website displays the ADS logo.",0,0,0,0,0,0,0,0
  You are responsible for informing ADS of changes to such information.,0,0,0,0,0,0,0,0
" "" Business advisors : for example, our lawyers, accountants, business consultants, insurers, auditors, to the extent it is necessary for them to provide us with their services.",0,0,0,0,0,0,0,0
" "" Comply with court orders and subpoenas, and respond to legally binding requests from government, law enforcement agencies, public authorities and/or regulators.",1,0,0,0,0,0,0,0
" "" Device information: Your device name, IMEI, OS version, country, location, language, IP address and settings of devices. ",1,0,0,0,0,0,0,0
" "" Government authorities, judicial authorities, regulators or other third parties where required : We will disclose personal information to government authorities, judicial authorities, regulators or other third parties where we have a legal requirement to do so or where we believe this is necessary: - to comply with the law or respond to compulsory legal processes (such as a search warrant, subpoena or court order); - to verify or enforce compliance with the terms and policies governing our Services and to investigate and prevent fraud or other unlawful activity relating to the use of our Services or affecting our business, to the extent such disclosure is permitted by applicable data protection laws; and - to protect and defend our rights, property, and the security or safety of our business operations and those of any of our respective affiliates, staff, business partners, our customers or members of the public. "" ",0,0,0,0,0,0,0,0
" "" Provide, personalize, and improve our Services "" ",1,0,0,0,0,0,0,0
" "" Third party IoT providers : when you activate third party connectivity features, for example when you connect home IoT devices to our Services, we will share personal information with the providers of those IoT devices to enable you to use the relevant features in our Services. "" Authorised resellers .",1,0,0,0,0,0,0,0
" ""Content"" includes all information downloaded, uploaded or appearing on the Services and which may become available for use or display, including without limitation all designs, text, graphics, pictures, video, animation, information, applications, software, programs, music, sound, audio, schematics, illustrations, diagrams, data, and other files and creative output, in whatever format.",0,0,0,0,0,0,0,0
" ""Intellectual Property Rights"" means any writing, trade name, trademark, service mark, mask work or any other material registered or otherwise protected or protectable under state, federal, or foreign patent, trademark, copyright, trade secret or similar laws.",0,0,0,0,0,0,0,0
" ""Log files"" track actions occurring on the Site, and collect data including your IP address, browser type, Internet service provider, referring/exit pages, and date/time stamps. - ",0,0,0,0,0,0,0,0
" ""Personally Identifiable Information"" means information that can be reasonably linked to a specific User.",0,0,0,0,0,0,0,0
" ""Proprietary Information"" includes any scientific, technical, trade or business secrets of any person or entity and any scientific, technical, trade or business materials that a person or entity treats, or is obligated to treat, as confidential or proprietary, including, but not limited to, Inventions belonging to a person or entity and confidential information obtained by or given to a person or entity about or belonging to a third party.",0,0,0,0,0,0,0,0
" ""User"" is anyone that creates an account and is registered to provide content on the Services and includes all other Persons who participate on the Services other than the Company.",0,0,0,0,0,0,0,0
" ""Web beacons"", ""tags"", and ""pixels"" are electronic files used to record information about how you browse the Site.",0,0,0,0,0,0,0,0
 (1) The categories of personal information we have collected about you.,1,1,0,0,0,0,0,0
" (1)‚ Transfer with express consent: After obtaining your express consent, we will transfer your personal information to other parties.",1,0,0,0,0,0,0,0
 (1)‚ we violated‚ laws and regulations.,0,0,0,1,0,0,0,0
 (1)‚ With your express consent.,1,0,0,0,0,0,0,0
 (1)How We Protect Your Personal Information ,0,0,0,0,0,0,0,0
 (2) enable you to participate in a variety of the features on the Sites and mobile applications; ,1,0,0,0,0,0,0,0
" (3) object to the processing of your personal information or withdraw your prior consent, if applicable; ",1,0,0,0,0,0,1,0
" (5) contact you regarding your use of the Sites and mobile applications and, in our discretion, changes to the Sites and mobile applications or the policies that apply to both; ",1,0,0,0,0,0,0,0
" (a) Information you voluntarily provide to us: When you sign up for and use the Services, integrate the Services with another application or service (for example, when you connect your Dropbox account with the Services), send us an email, post on our OSTicket, or communicate with us in any way, you are voluntarily giving us information that we collect.",1,0,0,0,0,0,0,0
 (a) Make changes at your request and provide technical support.,1,0,0,0,0,0,0,0
 (a) to facilitate Your use of the Website; ,1,0,0,0,0,0,0,0
 (a) To Provide Our Services to You,1,0,0,0,0,0,0,0
" (a) we maintain an ongoing relationship with you (e.g., where you are a user of our services, or you are lawfully included in our mailing list and have not unsubscribed); ",1,0,0,0,0,0,0,0
" (a) We process this data, if you choose to upload or add it to your Garmin account, to enable you to analyze this data, identify any Garmin devices used to collect data during the activity, see your location on your activity course and segment maps, see your heart rate related metrics such as stress score, Body Battery, or pulse oximetry, track your fitness goals, and, if you wish, share this data with others.",1,0,0,0,0,0,0,0
 (a)Uses third party suppliers and contractors and Myzone Group Companies to help Myzone provide these services (as these are set out in the Third Party Sites and Services Provider Section of this privacy policy);,1,0,0,0,0,0,0,0
" (b) If you choose to upload or add this data to your Garmin account and you choose to participate in Insights, then you will be presented with an Insights section in your Garmin account in which you will be provided with recommendations and motivational messages, information, and links to articles that may be of interest to you based upon this data, and a comparison of this data with aggregated activity data of others in the Garmin Connect community.",1,0,0,0,0,0,0,0
 (b) Send you notifications of operating system or application updates and installations. ,1,0,0,0,0,0,0,0
 (b) To Provide You with Service-Related Communications.,1,0,0,0,0,0,0,0
" (c) If you provide your opt-in consent to receiving marketing information from us, we will also process your email address for the purpose of sending you marketing information about our products, services, and apps, as well as newsletters.",1,0,0,0,0,0,0,0
 (c) Info through other Services: You may give us permission to collect your information in other services.,1,0,0,0,0,0,0,0
" (c) to protect and exercise our legal claims, rights and property; ",1,0,0,0,0,0,0,0
 (c) To Provide Customer Support or Respond to You.,1,0,0,0,0,0,0,0
" (c) We also process this data, if you choose to upload or add it to your Garmin account, in an aggregated manner to analyze usage and trends and develop or improve features and services.",1,0,0,0,0,0,0,0
 (d) Affiliated Businesses.,1,0,0,0,0,0,0,0
" (d) If you choose to upload or add this data to your Garmin account and you are opted in to product improvement, we will process this data for research and development purposes internally to help us build better and more relevant Garmin products and services.",1,0,0,0,0,0,0,0
" (d) when we believe that disclose is necessary to protect our rights, prevent fraud and/or comply with judicial proceeding, court order, or legal process served on Omate.",1,0,0,0,0,0,0,0
 (e) To Ensure the Security of the Services.,1,0,0,0,0,0,0,0
 (e) to send You surveys and marketing communications that Pebblecart.com believes may be of interest to You; ,1,0,0,0,0,0,0,0
" (g) if You purchase any content or avail of any service from the Website, to complete and fulfil Your purchase, for example, to have Your payments processed, communicate with You regarding Your purchase and provide You with related customer service;",1,0,0,0,0,0,0,0
 (g) To Enhance Your Experience on our Services.,1,0,0,0,0,0,0,0
 (h) for proper administering of the Website; ,1,0,0,0,0,0,0,0
" (i) Information Type, Collection Mode and Purpose ",1,0,0,0,0,0,0,0
 (ii) access to your Personal Data processed by us;,0,1,0,0,0,0,0,0
 (ii) the categories of Personal Information we have collected about you; ,1,0,0,0,0,0,0,0
 (iii) rectification of your Personal Data;,0,0,1,0,0,0,0,0
 (iii) Your computer or mobile device type ,1,0,0,0,0,0,0,0
 (iv) portability of your Personal Data;,0,0,0,0,0,1,0,0
" (iv) Protect against harm to the rights, property or safety of Cove, our users, customers or the public as required or permitted by law.",1,0,0,0,0,0,0,0
 (iv) the categories of third parties with which we share Personal Information; ,1,0,0,0,0,0,0,0
 (ix) The name of your Internet service provider (ISP) and/or host information ,1,0,0,0,0,0,0,0
" (ix) Your credit card, debit card and bank account numbers (solely for payment purposes) ",1,0,0,0,0,0,0,0
 (v) You email address ,1,0,0,0,0,0,0,0
" (v) anonymisation, blocking or deletion (erasure) of unnecessary or excessive data or data processed in breach of the provisions of the LGPD;",0,0,0,1,0,0,0,0
" (vi) deletion of personal data processed based on your consent, with the exceptions provided for in the LGPD; ",0,0,0,1,0,0,0,0
 (vi) The website from where you navigated to Cove Sites ,1,0,0,0,0,0,0,0
" (vii) Age, gender and demographic information (not required to be completed)",1,0,0,0,0,0,0,0
" (viii) information on the possibility of not providing consent and the consequences of refusal; (ix) revocation of consent, under the terms of the LGPD.",0,0,0,0,0,0,0,0
 (viii) Your user name and password for your Cove customer account (log-in credentials),1,0,0,0,0,0,0,0
 * Communications.,0,0,0,0,0,0,0,0
" § Information searched or browsed in the course of our services, e.g. search words on the webpage, URL addresses entered and any other information or details browsed or provided when using our services.",1,0,0,0,0,0,0,0
 ·     4(c) Third Party Marketing Partners and Social Media Platforms - Legitimate interest,1,0,0,0,0,0,0,0
 ·     5(a) To provide our services to you ·    ,1,0,0,0,0,0,0,0
 ·     5(f) To Maintain Legal and Regulatory Compliance.,1,0,0,0,0,0,0,0
 ·     6(f) Compliance with Legal Obligations and Disclosure to Governmental Authorities.,1,0,0,0,0,0,0,0
 1)Related to our compliance with our obligations under laws and regulations; ,1,0,0,0,0,0,0,0
 1.‚ Access to your personal information ,0,1,0,0,0,0,0,0
 1.1 Consent: ‚ We may process your personal data with your consent.,1,0,0,0,0,0,0,0
 1.1 Interest based advertising ,0,0,0,0,0,0,0,0
 10.1  Our website and services are targeted at persons over the age of 18.,1,0,0,0,0,0,0,0
 12.  About cookies  ,0,0,0,0,0,0,0,0
 13.  Cookies that we use  ,1,0,0,0,0,0,0,0
 2) Collection and use of user information ,1,0,0,0,0,0,0,0
" 2. Ecovacs will make prior assessment on whether third-party service providers are qualified to maintain data security, in order to make sure they are eligible according to the Laws, etc. ",1,0,0,0,0,0,0,0
 2.2. Provide you with technical services,0,0,0,0,0,0,0,0
" 2.2.1 During your use, you can contact our sales staff at any time or through the built-in feedback function of the App, you can give us feedback on the difficulties or doubts you encounter, and fill in the email address that can contact you, we will receive the email We will contact you in time to provide support services.",0,0,0,0,0,0,0,0
" 2.3.1.In order to provide you with services (such as height, weight, age, is a prerequisite for continued access to services); ",1,0,0,0,0,0,0,0
 3) all authorities having access to data by virtue of regulatory or administrative measures; ,1,0,0,0,0,0,0,0
 3.1 Binatone and Hubble Connected may share your personal information with third parties in the following circumstances: ,1,0,0,0,0,0,0,0
 3.1 Your Consent We will only disclose or share your personal data to other third parties with your prior consent.,1,0,0,0,0,0,0,0
" 4)Directly related to criminal investigation, prosecution, trial, and execution of sentences; ",1,0,0,0,0,0,0,0
 4.1 If you are a Myzone user.,0,0,0,0,0,0,0,0
" 4.2  We may disclose your personal data to our insurers and/or professional advisers insofar as reasonably necessary for the purposes of obtaining or maintaining insurance coverage, managing risks, obtaining professional advice, or the establishment, exercise or defence of legal claims, whether in court proceedings or in an administrative or out-of-court procedure.",1,0,0,0,0,0,0,0
" 5 To collect and recover money and debts owed by you to Myzone, Myzone Group Companies and any third parties Identity, contact information, Myzone profile, order information and financial information Legitimate interests ",1,0,0,0,0,0,0,0
 5(b) To Provide You with Service-Related Communications.,1,0,0,0,0,0,0,0
 5) Responding your request will cause severe damages to your lawful rights and interests or those of any other individuals or organizations; or 6) Involving trade secrets.,0,0,0,0,0,0,0,0
 5.   International transfers of your personal data ,1,0,0,0,0,0,0,0
" 5.1  In this Section 5, we provide information about the circumstances in which your personal data may be transferred to countries outside the European Economic Area (EEA).",1,0,0,0,0,0,0,0
 5.3. Deletion of your information: You may request us to delete user information in the following circumstances:,0,0,0,1,0,0,0,0
 5.3.1.If our processing of user information violates laws and regulations;,0,0,0,1,0,0,0,0
" 5.4 In any case of sharing your personal information with third parties, we endeavor to disclose it to such third parties only to the extent permitted by law and we require data recipients to process and protect your personal information in compliance with applicable laws and regulations ",1,0,0,0,0,0,0,0
" 7. Links to third-party websites When you visit the website, content may be displayed that is linked to third-party websites.",0,0,0,0,0,0,0,0
 8 PRESERVATION OF DATA ,1,0,0,0,0,0,0,0
" a right of data portability, that is to say the right to have your personal data transmitted in a structured format to you or directly from one controller to another, when this is technically possible ",0,0,0,0,0,1,0,0
 Acceptance of the Policy and consent ,0,0,0,0,0,0,0,0
" Additionally when you make a purchase or attempt to make a purchase through the Site, we collect certain information from you, including your name, billing address, shipping address, payment information (including credit card numbers), email address, and phone number.",0,0,0,0,0,0,0,0
 Advise of any issues with your order,0,0,0,0,0,0,0,0
" After you use the COROS app to upload your device's routine tracking data and motion, the data will be uploaded to the server store, and the uploaded data will include steps, calories, heart rate, activity time, activity data, and activity trajectory.",1,0,0,0,0,0,0,0
 and (xi) right to refuse the processing of Personal Data due to lack of compliance with the applicable legislation.,0,0,0,0,0,0,0,0
" and 1.2.10 for marketing third party products and services to you, if you have provided your consent for this.",1,0,0,0,0,0,0,0
 anonymised data to Google/Facebook to show you products that might interest you when browsing the internet or to record conversions more accurately (this is based on your marketing consent both with Sekonda and Google).,1,0,0,0,0,0,0,0
 Any such transfer of personal information shall take place only in accordance with applicable law.,1,0,0,0,0,0,0,0
" App Crash Report and feature usage report: when your COROS app is not functioning properly, your app may send crash reports to our team for analysis.",0,0,0,0,0,0,0,0
 As a minimum will be 1.4.1    Unique device ID for any of the products that are linked or enabled for the Hubble connected Service ,1,0,0,0,0,0,0,0
" At Fossil Group, Inc., owner of the SKAGEN DENMARK brand, its affiliates and subsidiaries (collectively ""Fossil"", ""Fossil Group"", ""we"", ""us"" or ""our"") we value your data protection rights.",0,0,0,0,0,0,0,0
 b) If we collect and use your personal information without your consent; ,0,0,0,1,0,0,0,0
 b) The name of infringement content required to be removed and network address of links required to be unlinked.,0,0,0,0,0,0,0,0
" b) WearPro also does not allow any third party to collect, edit, sell or disseminate your personal information by any means.",1,0,0,0,0,0,0,0
" B.     Providing relevant, useful and appropriate Products and Services to you and to suggest and to advertise products and services which may be relevant to you, and sending targeted communications to you; ",1,0,0,0,0,0,0,0
" Behavioural Advertising As described above, we use your Personal Information to provide you with targeted advertisements or marketing communications we believe may be of interest to you.",1,0,0,0,0,0,0,0
 Below are more secure methods for you to provide credit or debit card information and/or EFT/ACH information: (i) Through our secure payment portal available at my.adssecurity.com; (ii)Speak live with an ADS Security representative; or (iii) Provide via encrypted email.,0,0,0,0,0,0,0,0
" Between and among COROS and our current and future parents, affiliates, subsidiaries and other companies under common control and ownership;",1,0,0,0,0,0,0,0
" c) handling e-mail correspondence sent via the contact form, which is the implementation of the legitimate interest of the Administrator or third parties (Article 6 paragraph 1 point f of the Regulation); ",1,0,0,0,0,0,0,0
" c) If you violate relevant China laws, regulations or WearPro service agreements or related rules, you need to disclose to a third party; ",1,0,0,0,0,0,0,0
" c) Initial evidence of infringement, including but not limited to the ownership documents that can prove the right holders' legal right of the alleged infringement and descriptions about the infringement facts.",0,0,0,0,0,0,0,0
 c) User personal data obtained by WearPro from business partners through legal means; ,1,0,0,0,0,0,0,0
" California Consumer Disclosure The terms ""Business Purpose(s)"", ""Personal Information"", ""Sell"" (or ""Sale""), ""Service Provider(s)"" and ""Third Parties"" have the meanings given in the California Consumer Privacy Act of 2018 (CCPA).",0,0,0,0,0,0,0,0
